session_id,age,gender,attention_check,nfc_01,nfc_02r,nfc_03r,nfc_04,nfc_05,nfc_06r
7385046,19,female,1,3,4,4,3,2,3
7385155,18,female,1,1,2,5,1,3,2
7391990,18,female,1,5,5,1,5,5,5
7392153,18,female,0,4,4,4,1,1,1
7392233,18,female,1,2,2,2,3,4,2
7392698,24,male,0,4,3,4,2,3,2
7392875,18,female,1,4,1,2,5,4,2
7397218,19,male,1,2,4,3,2,3,2
7397377,20,female,0,3,2,4,3,3,4
7397497,18,female,1,3,2,4,3,4,4
7399330,19,female,1,3,2,4,3,2,2
7399569,18,female,1,2,3,5,2,1,3
7407138,20,female,1,2,3,4,3,3,2
7407324,21,female,1,3,2,3,2,2,2
7407467,18,female,1,4,4,4,2,2,2
7408019,18,male,1,2,3,2,2,3,4
7413094,18,female,1,5,1,3,3,3,2
7413208,19,female,1,3,4,2,2,4,3
7413320,18,female,0,3,2,3,3,4,3
7415180,18,female,1,3,4,3,2,3,4
7415265,18,female,0,1,1,4,5,1,2
7415371,18,female,1,2,4,5,1,3,4
7420043,NA,male,1,3,4,2,3,4,2
7420112,18,female,1,2,3,2,1,4,4
7420211,18,male,1,2,2,4,4,2,2
7422970,18,female,1,4,2,3,4,4,5
7423114,20,female,1,3,4,2,4,2,3
7423644,18,female,0,3,4,4,4,4,3
7423839,18,female,1,1,2,5,1,4,4
7423937,19,female,1,3,2,2,3,4,2
7424023,18,female,0,3,2,2,3,3,2
7428326,18,female,1,2,2,2,4,2,2
7428391,18,male,1,4,3,4,3,3,4
7428509,20,female,0,3,2,2,3,5,4
7437628,18,female,0,2,2,2,3,4,2
7437746,18,male,0,5,1,4,4,5,2
7437914,18,female,0,4,2,3,4,5,1
7476385,18,female,1,3,2,2,4,4,2
7476448,19,male,1,2,2,4,3,3,4
7476582,18,female,1,4,2,4,2,2,2
7480987,19,male,1,2,3,4,3,4,3
7481180,21,male,1,3,1,4,5,4,1
7483576,18,female,0,2,2,4,2,4,4
7490083,19,male,1,1,4,4,3,3,2
7490187,18,female,1,2,3,2,4,4,2
7490630,18,female,1,2,2,5,2,3,4
7490764,19,female,1,2,2,4,4,5,5
7490892,18,female,0,2,2,4,2,3,4
7492474,18,female,1,4,1,4,2,5,2
7492594,20,female,0,4,2,4,4,2,1
7381253,19,male,1,4,2,4,3,2,2
7507419,19,female,0,2,4,4,3,4,2
7510340,19,female,1,3,2,4,2,4,3
7510509,19,female,0,3,2,4,2,4,2
7510835,18,female,1,3,4,5,3,3,3
7511106,20,female,1,2,2,4,3,3,3
7522086,18,female,1,4,2,4,3,2,2
7522273,18,female,1,4,2,3,2,3,4
7522428,18,female,1,4,2,4,5,4,3
7530101,18,female,1,2,2,4,2,3,2
7530224,18,female,0,3,4,3,3,3,3
7381395,18,female,1,4,1,3,4,4,2
7530306,19,male,0,2,5,4,3,3,4
7538612,19,male,1,2,2,4,5,4,2
7538656,18,female,1,2,4,4,3,2,4
7543283,18,female,1,2,3,4,2,3,4
7543398,19,female,1,5,2,3,4,1,3
7543488,19,female,0,5,5,5,5,5,5
7543902,18,female,1,3,2,2,3,3,2
7551853,26,female,0,2,2,2,3,4,2
7551910,18,male,0,3,3,3,2,3,3
7381507,19,male,0,2,3,4,2,2,4
7552032,18,female,1,1,3,4,3,1,2
7556602,18,female,1,2,4,4,3,4,4
7375800,20,female,1,2,2,3,3,3,2
7384896,18,female,1,4,3,3,2,3,3
7404218,18,female,0,3,2,4,4,4,1
7543842,19,female,1,2,3,4,2,3,2
7408123,18,female,1,2,4,2,3,5,2
7384974,27,female,1,3,1,3,4,4,3
7481081,18,female,0,3,2,2,4,4,2
7404018,18,female,0,3,4,5,3,2,4
7408224,18,female,1,2,4,3,2,4,2
7481274,18,female,1,3,3,3,3,4,2
7404455,19,female,1,4,1,3,3,4,2
7404845,18,female,0,4,2,3,2,4,4
7598409,20,female,1,4,3,2,4,4,2
7598835,18,male,1,NA,NA,NA,NA,NA,NA
7598774,19,female,1,3,2,4,3,3,4
