Site,Participant_ID,RowNumber,session_id,age,attentioncorrect,big5_01_E,big5_02_Ar,big5_03_C,big5_04_N,big5_05_O,big5_06_Er,big5_07_A,big5_08_Cr,big5_09_Nr,big5_10_Or,elm_01,elm_02,elm_03,elm_04,elm_05,gender,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06r,intrinsic_07r,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,major,mood_01,mood_02,nfc_01,nfc_02r,nfc_03r,nfc_04,nfc_05,nfc_06r,selfesteem,stress_01,stress_02r,stress_03r,stress_04,year,Station
AshlandUniversity,10,2741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,11,2848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,12,170,7385046,19,I read the instructions,5,3,6,5,5,3,5,1,5,5,7,7,7,6,6,1,3,2,2,3,2,2,3,3,3,3,3,3,3,2,3,Exercise Science,3,3,3,4,4,3,2,3,4,3,2,3,4,2,1
AshlandUniversity,13,173,7385155,18,I read the instructions!,3,5,7,7,2,7,2,1,1,7,9,9,9,9,9,1,1,1,1,4,3,4,4,4,4,4,3,2,4,1,4,exercise science,1,1,1,2,5,1,3,2,1,4,2,2,5,1,1
AshlandUniversity,14,179,7391990,18,I read the instructions,7,6,7,5,7,3,7,1,7,2,9,9,9,9,7,1,2,2,1,4,3,2,2,4,4,4,4,3,4,2,4,Nursing,2,1,5,5,1,5,5,5,7,1,5,5,3,1,1
AshlandUniversity,15,180,7392153,18,NA,7,4,5,5,5,1,7,3,5,2,5,6,5,5,5,1,2,1,1,2,1,2,3,3,2,3,2,2,3,3,3,nursing,3,2,4,4,4,1,1,1,2,5,2,2,4,1,1
AshlandUniversity,16,185,7392233,18,I read the instructions,5,5,7,3,6,5,7,2,5,3,5,3,6,3,4,1,3,3,2,3,4,2,2,4,2,3,2,1,2,2,3,Psychology,2,2,2,2,2,3,4,2,5,3,4,4,2,1,1
AshlandUniversity,17,195,7392698,24,NA,6,5,3,2,6,5,2,3,6,5,7,8,5,4,4,2,2,3,2,4,2,4,3,4,3,3,2,2,4,2,4,Chemistry,3,3,4,3,4,2,3,2,5,4,3,4,3,2,1
AshlandUniversity,18,2927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AshlandUniversity,19,197,7392875,18,I read the instructions,3,4,5,6,3,5,2,1,4,5,6,7,5,6,7,1,3,3,3,4,4,3,3,4,4,2,1,1,4,4,2,Pre-med,6,6,4,1,2,5,4,2,2,5,3,2,4,1,1
AshlandUniversity,20,201,7397218,19,I read the instructions,3,5,4,5,5,5,5,2,6,4,7,7,8,7,8,2,2,1,1,3,2,3,3,3,2,3,3,2,2,2,4,nursing,4,4,2,4,3,2,3,2,5,3,4,3,3,1,1
